"NAME","LINE","weight","lon","lat","zipcode"
"W 4th St - Washington Sq (Lower)","B-D-F-M",4,-74.0003081470682,40.7322548265067,"10011"
"Buhre Ave","6-6 Express",2,-73.8325689992475,40.8468103326148,"10461"
"51st St","4-6-6 Express",3,-73.9719200001331,40.7571073331482,"10022"
"Brooklyn Bridge - City Hall","4-5-6-6 Express",4,-74.004131001117,40.713065332984,"10007"
"33rd St","4-6-6 Express",3,-73.9820760012492,40.7460813321576,"10016"
"Lexington Ave - 59th St","4-5-6-6 Express",4,-73.9679670006644,40.7625263338917,"10022"
"Hunts Point Ave","6-6 Express",2,-73.8905489997539,40.8209483318663,"10459"
"Middletown Rd","6-6 Express",2,-73.8363219973265,40.8438633346736,"10461"
"23rd St","4-6-6 Express",3,-73.9865990018398,40.7398643335507,"10010"
"45th Rd - Court House Sq","7-7 Express",2,-73.9452640006534,40.7470233318634,"11101"
"Astor Pl","4-6-6 Express",3,-73.991069998955,40.7300543337693,"10003"
"Hunters Point Ave","7-7 Express",2,-73.9489160011607,40.7422163332617,"11101"
"96th St","4-6-6 Express",3,-73.9510700007068,40.7856723334853,"10128"
"Mets - Willets Point","7-7 Express",2,-73.8456249978672,40.7546223324577,"11368"
"3rd Ave - 138th St","6-6 Express",2,-73.9261380002227,40.8104763345413,"10454"
"Zerega Ave","6-6 Express",2,-73.8470359980455,40.8364883336629,"10462"
"104th St","A-S",2,-73.8376829999374,40.6817113342027,"11417"
"Bleecker St (Downtown)","4-6-6 Express",3,-73.9946746782957,40.7259312382293,"10012"
"Castle Hill Ave","6-6 Express",2,-73.851221999209,40.8342553318321,"10462"
"Broad Channel","A-S",2,-73.8158326867774,40.608402513982,"11693"
"Ocean Pkwy","Q",1,-73.9685010000048,40.5763120005781,"11235"
"Vernon Blvd - Jackson Ave","7-7 Express",2,-73.9535809988201,40.7426263325713,"11101"
"68th St - Hunter College","4-6-6 Express",3,-73.9638700014866,40.768141333904,"10065"
"Queensboro Plz","7-7 Express-N-W",4,-73.9401635343974,40.7506359843809,"11101"
"Rockaway Blvd","A-S",2,-73.8438529971175,40.6804293333504,"11417"
"Union Sq - 14th St","4-5-6-6 Express",4,-73.9899509988699,40.734673334561,"10003"
"Junction Blvd","7-7 Express",2,-73.8695269997965,40.7491453327311,"11372"
"Classon Ave","G",1,-73.9599900012696,40.6888893336764,"11238"
"Bedford - Nostrand Aves","G",1,-73.9535219998762,40.6896273349134,"11205"
"15th St - Prospect Park","F-G",2,-73.979735806077,40.6600360216855,"11215"
"7th Ave","F-G",2,-73.9802511788693,40.6662450236906,"11215"
"Ft Hamilton Pkwy","F-G",2,-73.9757759988599,40.6507820009882,"11218"
"Church Ave","F-G",2,-73.979721161672,40.6442723334661,"11218"
"Beverly Rd","B-Q",2,-73.9643577954928,40.643904931656,"11226"
"Church Ave","B-Q",2,-73.9628824614487,40.6504935798757,"11226"
"Newkirk Ave","B-Q",2,-73.9626948684797,40.6351422703947,"11226"
"Parkside Ave","B-Q",2,-73.9614534400078,40.6550733747171,"11226"
"Prospect Park","B-Q-S",3,-73.9620313045171,40.6616337881714,"11225"
"Atlantic Ave","2-3-4-5",4,-73.9775499355033,40.684420498534,"11217"
"Rockaway Ave","A-C",2,-73.9119459972732,40.6783403332411,"11233"
"Fulton St","G",1,-73.9753749987391,40.6871193326578,"11217"
"Clinton - Washington Aves","G",1,-73.9667959983086,40.6880943345886,"11238"
"7th Ave","B-Q",2,-73.9728527914631,40.677102512887,"11217"
"Atlantic Ave","B-Q",2,-73.9767834393111,40.6844886564364,"11217"
"Union St","D-N-R",3,-73.9831099993178,40.67731600046,"11215"
"Atlantic Av - Pacific St","D-N-R",3,-73.9788099993486,40.6836660004799,"11217"
"Aqueduct Racetrack (To Manh Only)","A",1,-73.8359189987941,40.6720973323055,"11420"
"DeKalb Ave","B-D-N-Q-R",5,-73.9818240003622,40.6906350003393,"11201"
"Morris Park","5",1,-73.860494999982,40.8543643327002,"10462"
"Pelham Pkwy","5",1,-73.8553590000599,40.8589853329393,"10469"
"Nostrand Ave","A-C",2,-73.9504260004855,40.6804383331073,"11216"
"Nevins St","2-3-4-5",4,-73.980406798672,40.6883109131059,"11217"
"Franklin Ave","2-3-4-5",4,-73.9580997365901,40.6707654864579,"11238"
"Kingston - Throop Aves","A-C",2,-73.9408589983913,40.679919332914,"11216"
"Nassau Ave","G",1,-73.951182999797,40.7244803311835,"11222"
"Greenpoint Ave","G",1,-73.9544250017508,40.7312673327231,"11222"
"Marcy Ave","J-M-Z",3,-73.9578319999986,40.7083833336101,"11211"
"Hewes St","J-M",2,-73.9534880004084,40.706890331218,"11211"
"Essex St","J-M-Z",3,-73.9874094023336,40.7183063890855,"10002"
"5th Ave - 53rd St","E-M",2,-73.9752485046603,40.7600871659611,"10022"
"Lexington Ave - 53rd St","E-M",2,-73.9690723741774,40.7574686415725,"10022"
"28th St","N-R",2,-73.9886980006627,40.7454543333092,"10001"
"Herald Sq - 34th St","N-Q-R",3,-73.987936833243,40.7496448930789,"10001"
"1st Ave","L",1,-73.9816808750906,40.7309753087607,"10009"
"Grand Central - 42nd St","S",1,-73.9791890000073,40.7527690001726,"10017"
"Times Sq - 42nd St","S",1,-73.9862289999369,40.7559833334829,"10036"
"42nd St - Bryant Pk","B-D-F-M",4,-73.984590998399,40.7541843346297,"10018"
"Times Sq - 42nd St","N-Q-R",3,-73.986768002027,40.7546123322309,"10018"
"Metropolitan Ave","G",1,-73.9514239995615,40.71277433427,"11211"
"Grand St","L",1,-73.9404969989824,40.711576333817,"11206"
"Graham Ave","L",1,-73.9439439978816,40.7145763314997,"11211"
"Lorimer St","L",1,-73.9502480001933,40.7140723341722,"11211"
"Bedford Ave","L",1,-73.9566649983702,40.7171743323137,"11211"
"Broadway","G",1,-73.9503122559599,40.7061269098407,"11211"
"Lorimer St","J-M",2,-73.9473549981359,40.7038443337936,"11206"
"Montrose Ave","L",1,-73.9397928465133,40.7073913972525,"11206"
"23rd St - Ely Av","E-M",2,-73.946054702705,40.7477684547948,"11101"
"Long Island City - Court Sq","G",1,-73.9438155955716,40.746305367062,"11101"
"21st St","G",1,-73.9495999993798,40.7441290000131,"11101"
"39th Ave","N-Q",2,-73.9328513760691,40.7527633945594,"11101"
"36th Ave","N-Q",2,-73.9298619983324,40.7564423334375,"11106"
"145th St","1",1,-73.9503599980951,40.8265513327747,"10031"
"157th St","1",1,-73.9448899987428,40.8340413335439,"10032"
"103rd St","1",1,-73.9683789992483,40.7994463339473,"10025"
"103rd St","A-B-C",3,-73.9613700821619,40.7960610735625,"10025"
